Select,Description,Start Date,End Date,Quantity,Unit,tCO2e,Month,Material Type
False,Waste Management,2023-09-01,2023-09-01,50.64,dollars,0.03527890038,Sep '23,
True,Waste Management,2023-08-31,2023-09-01,25.32,dollars,0.01763945019,Sep '23,
False,Waste Management,2023-08-31,2023-08-31,50.64,dollars,0.03527890038,Aug '23,
False,Waste Management,2023-08-31,2023-08-31,25.32,dollars,0.01763945019,Aug '23,
False,Waste Management,2023-08-31,2023-08-31,25.32,dollars,0.01763945019,Aug '23,
True,Waste Management,2023-07-05,2023-08-31,50.64,dollars,0.03527890038,Aug '23,
False,Diesel,2023-08-23,2023-08-28,36.37,gallons,0.4093297292599999,Aug '23,
False,Diesel,2023-08-07,2023-08-23,36.37,gallons,0.4093297292599999,Aug '23,
False,Diesel,2023-08-01,2023-08-07,31.818,gallons,0.358098799164,Aug '23,
False,Gas,2023-07-20,2023-07-28,34.66,gallons,0.3354496353799999,Jul '23,
False,Gas,2023-07-14,2023-07-20,41.14,dollars,0.0088884212428,Jul '23,
False,Gas,2023-06-22,2023-07-14,34.185,gallons,0.330852446205,Jul '23,
False,Waste Management,2023-07-05,2023-07-05,50.65,dollars,0.0352858669875,Jul '23,
False,Waste Management,2023-04-12,2023-07-05,25.32,dollars,0.01763945019,Jul '23,
False,Gas,2023-06-16,2023-06-22,10.871,gallons,0.105212723203,Jun '23,
False,Gas,2023-05-29,2023-06-16,5.896,gallons,0.0570632155279999,Jun '23,
False,Electricity,2023-05-08,2023-06-07,9160.0,kWh,2.5083133028,Jun '23,
False,Gas,2023-05-29,2023-05-29,6.0,gallons,0.058069758,Apr '23,Gas
False,Gas,2023-05-18,2023-05-29,23.951,gallons,0.231804795643,Apr '23,Gas
False,Gas,2023-04-29,2023-05-18,2.768,gallons,0.026789515024,May '23,
False,Electricity,2023-04-07,2023-05-08,12720.0,kWh,3.4831599576,May '23,
False,Gas,2023-04-29,2023-04-29,4.004,gallons,0.0387518851719999,May '23,Gas
False,Gas,2023-04-29,2023-04-29,26.783,gallons,0.259213721419,Mar '23,Gas
